;id;afavor;n;total;trimestre;perc_governismo
307;1204571;314.0;383.0;82.0;2023-03-31;100.0
308;1204572;132.0;564.0;23.0;2023-03-31;38.0
309;1204573;412.0;486.0;85.0;2023-03-31;100.0
310;1204574;236.0;282.0;84.0;2023-03-31;
311;1205476;470.0;528.0;89.0;2023-03-31;100.0
312;1205550;448.0;555.0;81.0;2023-03-31;86.0
313;1205865;196.0;437.0;45.0;2023-03-31;
314;1206018;394.0;471.0;84.0;2023-03-31;57.0
315;1209189;498.0;513.0;97.0;2023-03-31;100.0
316;1209787;110.0;577.0;19.0;2023-03-31;38.0
317;1210989;414.0;485.0;85.0;2023-03-31;100.0
318;1213762;57.0;137.0;42.0;2023-03-31;
319;1215043;345.0;458.0;75.0;2023-03-31;100.0
320;1218086;417.0;490.0;85.0;2023-03-31;
321;1220527;576.0;585.0;98.0;2023-03-31;100.0
322;1220528;449.0;514.0;87.0;2023-03-31;100.0
323;1220529;555.0;629.0;88.0;2023-03-31;88.0
324;1220530;152.0;578.0;26.0;2023-03-31;83.0
325;1220532;361.0;449.0;80.0;2023-03-31;75.0
326;1220533;533.0;562.0;95.0;2023-03-31;100.0
327;1220534;405.0;512.0;79.0;2023-03-31;71.0
328;1220536;517.0;622.0;83.0;2023-03-31;100.0
329;1220537;315.0;358.0;88.0;2023-03-31;100.0
330;1220538;415.0;487.0;85.0;2023-03-31;83.0
331;1220539;504.0;585.0;86.0;2023-03-31;75.0
332;1220540;349.0;434.0;80.0;2023-03-31;86.0
333;1220542;342.0;437.0;78.0;2023-03-31;83.0
334;1220543;539.0;678.0;79.0;2023-03-31;71.0
335;1220544;467.0;560.0;83.0;2023-03-31;67.0
336;1220545;137.0;553.0;25.0;2023-03-31;50.0
337;1220546;103.0;589.0;17.0;2023-03-31;50.0
338;1220547;116.0;671.0;17.0;2023-03-31;25.0
339;1220548;496.0;513.0;97.0;2023-03-31;100.0
340;1220549;178.0;505.0;35.0;2023-03-31;75.0
341;1220550;140.0;635.0;22.0;2023-03-31;60.0
342;1220551;320.0;546.0;59.0;2023-03-31;63.0
343;1220552;143.0;664.0;22.0;2023-03-31;50.0
344;1220553;517.0;535.0;97.0;2023-03-31;100.0
345;1220554;484.0;499.0;97.0;2023-03-31;100.0
346;1220555;469.0;493.0;95.0;2023-03-31;100.0
347;1220556;520.0;529.0;98.0;2023-03-31;100.0
348;1220557;124.0;541.0;23.0;2023-03-31;50.0
349;1220558;107.0;541.0;20.0;2023-03-31;29.0
350;1220559;100.0;572.0;17.0;2023-03-31;38.0
351;1220560;349.0;438.0;80.0;2023-03-31;83.0
352;1220561;504.0;601.0;84.0;2023-03-31;100.0
353;1220563;316.0;456.0;69.0;2023-03-31;75.0
354;1220564;334.0;395.0;85.0;2023-03-31;88.0
355;1220565;485.0;494.0;98.0;2023-03-31;100.0
356;1220566;332.0;423.0;78.0;2023-03-31;86.0
357;1220567;338.0;402.0;84.0;2023-03-31;86.0
358;1220568;90.0;527.0;17.0;2023-03-31;33.0
359;1220569;282.0;481.0;59.0;2023-03-31;86.0
360;1220570;354.0;445.0;80.0;2023-03-31;100.0
361;1220571;290.0;592.0;49.0;2023-03-31;71.0
362;1220572;285.0;383.0;74.0;2023-03-31;75.0
363;1220573;432.0;463.0;93.0;2023-03-31;88.0
364;1220574;126.0;602.0;21.0;2023-03-31;100.0
365;1220576;181.0;653.0;28.0;2023-03-31;67.0
366;1220578;540.0;599.0;90.0;2023-03-31;86.0
367;1220581;524.0;551.0;95.0;2023-03-31;100.0
368;1220582;417.0;447.0;93.0;2023-03-31;
369;1220583;249.0;607.0;41.0;2023-03-31;86.0
370;1220584;489.0;553.0;88.0;2023-03-31;86.0
371;1220585;331.0;397.0;83.0;2023-03-31;100.0
372;1220586;459.0;508.0;90.0;2023-03-31;100.0
373;1220588;377.0;716.0;53.0;2023-03-31;50.0
374;1220589;225.0;456.0;49.0;2023-03-31;100.0
375;1220590;214.0;539.0;40.0;2023-03-31;75.0
376;1220591;471.0;505.0;93.0;2023-03-31;86.0
377;1220592;429.0;495.0;87.0;2023-03-31;80.0
378;1220594;153.0;582.0;26.0;2023-03-31;75.0
379;1220595;143.0;622.0;23.0;2023-03-31;56.0
380;1220597;283.0;522.0;54.0;2023-03-31;71.0
381;1220598;541.0;648.0;83.0;2023-03-31;75.0
382;1220599;446.0;568.0;79.0;2023-03-31;80.0
383;1220602;502.0;512.0;98.0;2023-03-31;100.0
